loc,num_bugs,lat,long
"(41.987279999999998, -87.666066000000001)",521,41.98728,-87.666066
"(41.990284000000003, -87.797127000000003)",107,41.990284,-87.797127
"(41.991428999999997, -87.747112999999999)",952,41.991429,-87.747113
"(41.992478000000006, -87.862994999999998)",1477,41.992478,-87.862995
"(41.994469000000002, -87.667736000000005)",15,41.994469,-87.667736
"(41.994678999999998, -87.770899)",375,41.994679,-87.770899
"(41.994990999999999, -87.769278999999997)",77,41.994991,-87.769279
"(41.999128999999996, -87.795585000000003)",230,41.999129,-87.795585
"(42.006858000000001, -87.675918999999993)",56,42.006858,-87.675919
"(42.008313999999999, -87.777920999999992)",2668,42.008314,-87.777921
"(42.009875999999998, -87.807276999999999)",758,42.009876,-87.807277
"(42.010412000000002, -87.662140000000008)",121,42.010412,-87.66214
"(42.011600999999999, -87.811506000000008)",847,42.011601,-87.811506
"(42.017429999999997, -87.687768999999989)",211,42.01743,-87.687769
